Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
UDR,149.79,12897882990,74.00,7.47,14.71,10.93,65.94,0.66%,18871695990,11.29,19.22,14.10,2.85%,23.99,7.71,3.75,-4.53,222.67,35.10,4.17%,4.15,4.37%,1.19%,668.30%,3.88%,1.72,10,0.43
FMS,24.57,13752290932,11.59,0.69,5.15,1.36,19.01,4.07%,26846036732,1.33,7.98,5.71,7.10%,7.22,0.68,0.84,0.46,47.91,14.09,13.85%,,2.67%,2.60%,33.47%,2.67%,0.63,1,0.63
WES,8.79,13477790745,10.08,3.50,6.31,5.29,10.32,11.40%,20325005745,5.64,7.76,6.02,6.41%,10.34,3.74,4.17,5.48,13.22,15.60,9.67%,5.24,9.76%,36.27%,87.06%,10.28%,3.50,3,0.88
BAP,10.45,13708325116,8.19,0.60,12.49,0.65,8.18,9.57%,14855540306,3.33,7.44,,6.83%,13.51,3.07,1.57,1.16,11.33,14.64,7.40%,1.66,7.16%,,66.65%,7.16%,12.21,3,2.92
CRBG,7.16,14806173480,5.02,0.66,6.88,1.18,7.80,15.06%,26392173480,1.41,7.38,5.04,8.15%,6.88,0.79,1.29,,11.84,12.27,14.53%,1.29,3.61%,-55.29%,25.81%,10.73%,0.96,0,0.24
STX,13.05,15108470055,8.26,1.59,16.11,2.06,12.26,7.80%,19549470055,2.43,10.58,9.47,3.53%,21.86,1.88,,0.21,16.58,28.29,4.57%,,4.15%,1.43%,52.82%,0.21%,2.88,1,0.72
ZG,,15168633334,33.52,5.83,35.44,5.30,,-0.74%,13808633334,6.18,77.14,,2.06%,53.22,6.78,3.13,0.72,,48.45,1.88%,8.21,,,,-0.21%,,0,0.00
ON,9.50,14526381870,13.28,2.37,7.62,2.43,7.85,10.83%,14901981870,2.10,5.87,5.70,8.18%,11.92,2.05,1.65,1.43,9.47,12.23,8.39%,2.09,,,,3.16%,,0,0.00
EG,10.85,16481967708,6.76,1.01,3.32,1.13,11.28,8.33%,18519967708,1.07,11.28,,26.77%,3.32,0.95,1.19,-50.00,13.49,3.74,30.08%,1.07,2.36%,15.94%,25.17%,3.27%,8.00,3,2.00
BEP,,6088654920,52.36,0.97,4.78,6.41,25.52,-4.19%,40115654920,6.83,11.20,4.70,-6.13%,,1.04,1.69,3.51,,,-40.39%,3.96,6.73%,5.14%,,2.43%,1.44,5,0.37
OMC,9.76,14281737840,8.61,0.88,8.24,1.03,7.35,10.37%,16813137840,1.07,6.64,5.68,9.47%,8.97,0.91,3.41,1.40,11.36,10.56,11.15%,,3.81%,,37.53%,5.31%,2.80,0,0.70
AMH,31.29,12497335500,49.38,6.72,15.40,9.23,29.70,3.19%,17157881500,9.93,16.27,16.29,-0.66%,,7.23,1.75,29.82,43.06,,-0.90%,2.02,3.50%,17.39%,111.11%,2.02%,1.20,4,0.30
BAX,,14431116740,11.23,1.27,14.16,2.29,,-4.50%,26036116740,2.45,35.86,7.66,2.15%,25.82,1.36,2.07,1.82,,46.58,3.87%,,2.42%,-20.69%,,2.03%,0.68,0,0.17
DUOL,168.59,14339254300,120.53,14.52,50.22,13.68,132.09,0.62%,13513530300,18.07,119.42,192.06,1.96%,54.24,19.17,17.39,,152.57,51.12,1.84%,18.06,,,,-4.69%,,0,0.00
TRMB,9.65,14212922400,19.69,4.06,27.59,4.31,7.21,10.39%,15088022400,4.15,6.46,19.92,3.17%,29.74,3.91,2.42,2.13,10.21,31.57,3.36%,,,,,1.12%,,0,0.00
TRU,50.81,14318397500,17.95,3.22,17.20,4.23,28.97,1.99%,18786097500,4.49,15.84,11.31,2.75%,27.71,3.42,3.40,0.69,66.06,36.36,3.61%,,0.64%,2.38%,31.72%,-1.08%,0.46,0,0.12
ZTO,12.25,10647206495,9.15,0.42,6.81,0.38,5.97,11.34%,9801640291,1.62,4.77,7.07,15.94%,6.81,1.76,1.25,0.71,8.12,6.27,14.68%,2.03,3.84%,11.29%,47.07%,3.90%,0.69,2,0.34
J,23.69,14075403840,18.14,1.52,18.92,1.64,14.58,4.38%,15211881840,1.06,11.39,11.33,4.19%,22.09,0.98,3.35,1.18,24.68,23.87,4.53%,,1.00%,16.62%,23.48%,2.63%,1.14,6,0.32
EQH,12.14,14080382810,6.37,0.84,7.02,0.75,6.90,8.71%,12565382810,1.01,4.69,4.05,14.75%,7.60,1.13,8.88,,10.24,6.78,13.16%,,2.10%,9.09%,25.40%,9.69%,0.96,7,0.24
CNH,11.23,13865724400,15.62,0.85,7.05,2.25,11.57,8.99%,36943724400,1.86,9.73,6.54,2.12%,17.71,0.70,1.81,,29.65,47.18,5.65%,4.88,2.23%,-46.81%,25.25%,8.94%,0.25,3,0.25
ONON,52.32,13931600844,39.85,4.59,22.52,4.36,36.05,1.93%,13228631675,5.14,26.80,50.74,4.12%,25.54,5.41,8.26,,49.14,24.25,3.92%,9.47,,,,-0.66%,,0,0.00
TLK,10.46,13982629897,9.46,,3.89,,7.19,11.34%,16200370208,1.67,7.19,3.13,9.93%,8.69,1.44,1.74,13.51,10.21,10.07,11.50%,1.68,7.87%,-1.59%,7375.75%,7.92%,1.11,0,1.11
FSLR,10.23,13141993900,6.53,2.38,10.79,2.16,8.27,9.83%,11958812900,2.84,6.40,7.25,-2.58%,,3.12,1.65,0.25,9.26,,-2.34%,1.67,,,,-0.14%,,0,0.00
BIP,687.00,12682349760,33.00,1.52,2.73,7.66,15.76,0.45%,63816349760,3.03,8.30,1.49,0.45%,44.19,0.60,1.79,1.18,1119.59,222.36,2.26%,,5.99%,5.97%,2233.50%,5.34%,1.65,5,0.43
PRMB,87.42,12410168789,21.61,1.73,26.56,2.43,49.02,-0.13%,17474968789,3.39,25.33,13.82,1.81%,39.15,2.41,3.60,,,55.13,2.55%,,3.64%,260.61%,,-7.35%,1.19,3,0.10
MNDY,387.24,12190161597,68.88,9.81,39.19,8.72,,0.27%,10834591597,11.15,,,2.73%,41.21,12.54,11.83,1.34,334.69,36.62,2.43%,11.93,,,,-8.38%,,0,0.00
ACM,26.71,12387274950,18.46,0.71,14.83,0.79,16.90,3.83%,13817189950,0.85,13.88,11.09,5.30%,16.91,0.76,5.62,0.91,29.10,18.86,5.91%,,1.12%,20.00%,29.69%,3.64%,1.04,3,0.26
AS,159.07,12317520362,31.69,2.02,29.00,2.20,35.94,0.59%,13455320362,2.60,20.76,19.86,1.39%,65.80,2.38,2.46,0.55,185.33,71.88,1.52%,36.94,,,,-30.49%,,0,0.00
PFGC,30.60,11864605200,15.24,0.18,12.01,0.30,24.43,3.26%,19714805200,0.33,13.82,8.29,2.74%,21.97,0.20,2.79,0.67,50.90,36.50,4.55%,,,,,-0.39%,,0,0.00
