Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
MSFT,30.10,2778970403600,26.51,9.29,22.13,9.26,23.82,3.34%,2769639403600,10.58,19.38,19.56,2.53%,39.68,10.61,9.18,1.62,29.86,39.55,2.52%,17.58,0.87%,10.58%,26.75%,0.85%,3.32,10,0.83
NVDA,36.36,2627636000000,23.90,13.02,41.00,12.86,30.79,2.77%,2594408000000,19.88,30.12,31.31,2.35%,43.18,20.14,33.12,0.94,35.60,42.63,2.32%,35.57,0.04%,150.00%,1.36%,0.58%,0.04,1,0.01
AMZN,32.77,1920515194000,28.34,2.70,16.57,2.74,27.50,3.09%,1950213194000,3.06,15.76,15.94,1.96%,50.25,3.01,6.72,1.28,32.92,51.03,1.99%,7.55,,,,-2.18%,,0,0.00
META,22.92,1385810342142,21.12,7.21,15.17,7.06,19.20,4.50%,1357055342142,8.25,15.75,16.55,3.98%,25.63,8.42,7.59,1.17,21.76,25.10,3.90%,8.60,0.38%,,8.80%,0.95%,2.10,1,0.53
AVGO,83.43,816728715000,25.28,12.40,38.42,13.27,49.55,1.23%,874000715000,16.03,31.81,28.32,2.37%,39.39,14.98,11.70,0.41,86.77,42.15,2.54%,,1.30%,13.45%,106.75%,-2.36%,2.24,5,0.59
WMT,37.86,728410991000,34.42,1.02,19.99,1.09,27.53,2.67%,779487991000,1.14,18.88,17.33,1.68%,55.64,1.07,8.00,3.23,40.11,59.54,1.80%,12.67,1.04%,13.25%,39.00%,1.36%,0.94,52,0.24
TSM,21.39,154362088749,2.42,0.04,2.77,0.03,2.52,23.39%,108699059298,1.22,1.71,11.31,24.43%,5.81,1.73,1.18,1.08,3.01,4.09,17.21%,5.24,1.63%,20.48%,35.74%,1.65%,2.47,1,0.54
LLY,61.56,683414749990,30.83,11.40,77.50,11.90,56.28,1.55%,713635749990,15.84,49.40,33.60,0.53%,181.75,15.17,48.15,1.06,67.39,189.79,0.55%,287.02,0.83%,15.14%,51.24%,0.75%,6.00,10,1.50
UNH,38.56,546993202440,19.92,1.20,22.60,1.30,25.70,2.63%,594784202440,1.49,21.84,15.63,3.48%,26.42,1.37,5.90,1.03,41.29,28.73,3.79%,,1.41%,11.70%,54.16%,2.36%,8.40,10,2.10
KO,28.34,299786686200,22.94,6.09,44.05,6.70,22.39,3.55%,329737686200,7.01,20.87,19.51,1.45%,62.70,6.37,12.06,2.60,31.02,68.97,1.59%,,2.88%,5.36%,82.93%,3.36%,2.04,63,0.51
NVO,19.47,248985506144,2.27,0.72,13.72,0.76,13.65,5.66%,260462320440,6.43,11.86,13.39,4.25%,22.48,6.15,11.56,1.00,18.49,23.52,4.45%,60.60,2.63%,17.49%,51.31%,3.72%,1.61,3,1.10
BABA,15.44,252799668010,1.43,0.24,11.61,0.21,9.89,6.52%,222483173376,1.65,7.57,9.19,6.11%,18.58,1.88,1.85,0.59,13.49,16.35,5.38%,2.42,0.94%,,14.51%,6.45%,0.98,1,0.98
AZN,28.64,399512381353,14.29,6.82,33.68,7.24,40.68,1.76%,424153381353,7.84,24.78,11.46,2.36%,39.98,7.39,9.80,0.95,60.29,42.45,2.50%,,2.37%,6.21%,34.22%,2.33%,1.54,1,1.05
GE,30.14,193119860254,32.25,4.76,41.00,4.87,23.26,3.39%,197791860254,5.11,20.42,21.53,1.92%,50.93,4.99,9.98,11.54,30.17,52.16,1.96%,29.41,0.79%,130.77%,24.04%,1.36%,1.44,2,0.36
SHEL,11.97,182498855000,14.32,0.56,3.34,0.68,6.43,8.82%,220466855000,0.76,3.61,3.43,16.65%,4.97,0.63,1.02,2.47,13.70,6.01,20.11%,1.19,4.79%,7.46%,113.20%,11.69%,2.86,3,0.72
ISRG,76.00,175232302500,59.55,17.93,72.56,17.52,64.39,1.33%,171219002500,20.50,54.21,61.86,0.76%,134.40,20.98,10.66,3.62,73.72,131.32,0.74%,10.88,,,,-1.29%,,0,0.00
RY,12.91,155484239750,8.06,2.38,3.89,1.23,5.12,7.94%,80206466338,1.91,4.82,,47.61%,4.07,3.69,1.63,2.31,6.50,2.10,24.56%,2.42,3.73%,-6.61%,48.34%,2.82%,4.10,4,1.02
DIS,27.27,151881476850,15.31,1.57,10.13,1.98,21.09,3.70%,191703476850,2.07,13.59,8.23,4.39%,18.06,1.64,1.49,0.80,34.14,22.79,5.54%,8.32,1.17%,33.33%,32.52%,2.12%,1.00,1,0.50
UBER,15.50,148416722200,28.02,2.89,20.80,2.90,32.18,6.64%,148698722200,3.38,27.75,41.80,4.64%,21.53,3.37,6.88,43.21,15.09,21.57,4.65%,11.95,,,,-2.81%,,0,0.00
UL,24.71,147648972700,16.75,,10.86,,16.72,4.05%,175185954485,2.77,14.07,11.65,6.68%,12.62,2.33,6.59,2.89,29.28,14.98,7.92%,,3.13%,1.29%,79.12%,3.95%,1.88,2,0.47
SPGI,36.56,138956310000,25.78,9.04,24.43,9.70,28.20,2.77%,149203310000,10.50,23.09,20.34,3.73%,24.97,9.78,4.19,1.93,38.73,26.81,4.00%,,0.84%,2.22%,31.09%,3.05%,3.84,52,0.96
TJX,29.92,142396737000,28.00,2.39,23.28,2.51,23.78,3.42%,149839737000,2.66,20.23,19.23,2.80%,33.92,2.53,16.97,2.77,30.81,35.69,2.95%,17.38,1.33%,12.93%,39.91%,2.80%,1.70,4,0.43
BSX,74.35,137453672775,32.22,7.11,40.02,7.65,56.95,1.35%,147785672775,8.82,38.25,32.18,1.81%,51.52,8.21,6.31,1.78,79.75,55.39,1.94%,,,,,-1.53%,,0,0.00
BLK,20.30,132208962480,18.03,5.70,26.68,5.77,15.38,4.82%,133668962480,6.55,14.30,16.11,3.52%,28.12,6.48,2.78,1.45,20.99,28.43,3.56%,164.64,2.43%,2.04%,49.61%,1.86%,20.84,10,5.21
FI,37.99,114161354120,19.36,5.32,17.22,6.42,27.74,2.74%,137765354120,6.73,17.09,12.72,3.67%,22.55,5.58,4.22,0.90,44.00,27.22,4.43%,,,,,5.49%,,,0.08
TXN,30.00,141924460050,28.83,8.22,22.46,8.57,24.82,3.38%,147940460050,9.46,19.62,20.69,1.01%,94.74,9.07,8.40,1.41,30.83,98.76,1.06%,11.55,3.47%,4.72%,104.62%,3.18%,5.44,10,1.36
PFE,15.31,122446605500,7.20,1.92,9.61,2.61,20.78,6.56%,166320605500,2.61,11.08,5.25,5.91%,12.45,1.92,1.39,0.53,20.71,16.91,8.03%,,7.97%,2.42%,121.82%,8.12%,1.72,14,0.43
ADP,30.19,117911215800,27.71,5.56,24.70,5.66,21.56,3.34%,119977615800,6.03,19.55,20.12,3.50%,28.07,5.92,23.22,2.95,30.50,28.56,3.56%,760.23,2.11%,10.94%,64.21%,2.97%,6.16,50,1.54
AMD,86.78,141099115500,18.76,4.42,46.40,4.33,65.36,1.16%,138179115500,5.36,26.12,27.24,1.74%,58.67,5.47,2.45,0.38,84.20,57.45,1.70%,10.16,,,,-0.74%,,,0.01
CAT,13.11,138198817120,14.50,2.16,11.48,2.65,12.18,7.81%,169718817120,2.62,10.55,8.83,5.62%,14.48,2.13,7.09,1.38,15.73,17.79,6.90%,9.98,1.95%,8.46%,25.58%,6.66%,5.64,32,1.41
NEE,19.53,136123602500,17.56,4.50,10.27,7.17,22.79,5.10%,216969602500,8.77,14.48,10.32,2.19%,28.68,5.50,2.72,2.44,31.24,45.72,3.49%,3.11,3.40%,10.12%,67.24%,3.21%,2.27,10,0.57
MUFG,15.17,128939565970,8.72,0.03,,0.01,3.03,6.80%,38447023489,1.11,2.53,,-33.52%,,3.74,1.06,0.79,4.38,,-10.00%,1.16,3.45%,78.79%,39.71%,6.20%,0.38,2,0.22
MMC,28.17,113562386685,23.83,4.18,26.40,4.48,19.88,3.58%,121750386685,4.98,17.03,15.72,3.27%,28.49,4.64,8.51,2.43,29.99,30.54,3.51%,,1.42%,14.79%,39.85%,2.02%,3.26,10,0.82
SCHW,24.49,133460616300,16.90,5.79,49.99,4.26,12.78,4.10%,98283616300,5.01,10.77,,2.09%,65.10,6.81,2.76,0.93,17.94,47.94,1.54%,6.81,1.46%,2.00%,36.12%,1.32%,1.08,0,0.27
SYK,44.07,130530004220,25.22,5.26,30.77,5.62,39.99,2.29%,139634004220,6.18,35.63,21.73,2.50%,37.43,5.78,6.33,2.07,46.65,40.04,2.67%,339.92,0.96%,5.81%,43.30%,0.49%,3.36,10,0.84
UNP,19.78,131442423760,18.20,5.22,14.06,6.45,16.15,5.13%,162523423760,6.70,13.04,10.89,3.63%,22.30,5.42,7.78,2.16,24.09,27.57,4.48%,8.23,2.44%,2.31%,48.33%,2.71%,5.36,10,1.34
DHR,33.88,128258721500,23.22,5.26,19.18,5.83,28.88,3.04%,142185721500,5.96,19.54,17.08,3.73%,24.16,5.37,2.59,1.91,36.47,26.78,4.14%,,0.71%,10.85%,24.20%,1.51%,1.28,7,0.32
CMCSA,8.13,127026814400,7.64,1.01,4.59,1.73,9.46,12.75%,218797814400,1.77,5.77,3.34,5.68%,10.22,1.03,1.48,1.34,13.51,17.61,9.78%,,3.92%,6.78%,31.88%,8.85%,1.32,5,0.33
GILD,266.62,126264919550,12.53,4.32,11.66,4.89,85.72,0.38%,142984919550,4.97,32.24,9.38,7.21%,12.25,4.39,6.53,0.22,297.89,13.88,8.16%,,3.12%,2.65%,831.58%,3.35%,3.16,10,0.79
HON,22.05,124579675200,18.39,3.05,20.43,3.54,17.57,4.58%,144725675200,3.76,15.12,12.95,3.41%,25.25,3.24,6.69,1.94,25.37,29.34,3.96%,,2.34%,4.74%,51.89%,3.72%,4.52,10,1.13
LOW,17.94,122539452045,17.65,1.44,12.73,1.88,15.30,5.68%,160084452045,1.91,12.35,9.73,4.87%,15.70,1.46,,2.13,23.01,20.52,6.37%,,2.08%,4.55%,37.61%,3.92%,4.60,53,1.15
TTE,8.25,126972664751,6.98,0.64,4.12,0.75,5.02,12.41%,148435664751,0.76,3.48,3.41,11.23%,7.62,0.65,1.08,7.12,9.42,8.90,13.13%,1.47,6.20%,5.46%,50.72%,6.75%,3.39,1,0.83
PDD,8.65,31285529962,1.03,0.06,1.88,,,49.23%,-21948339339,,,8.36,-75.95%,1.88,0.58,0.73,0.73,,,53.28%,2.91,,,,-1.32%,,0,0.00
VRTX,,122239444690,25.78,10.04,,9.67,422.00,-0.44%,117780744690,10.69,242.20,25.57,-0.67%,,11.09,7.45,1.32,,,-0.65%,8.42,,,,1.00%,,0,0.00
SNY,21.54,121693949327,5.91,2.63,11.95,2.88,15.18,4.76%,133430367213,2.89,10.42,10.10,6.18%,14.77,2.64,1.40,0.91,23.04,16.19,6.77%,5.93,4.43%,7.73%,47.80%,4.48%,2.20,1,2.20
DE,19.66,120559384660,22.26,2.99,13.39,4.42,15.86,5.16%,178339384660,3.71,13.32,11.96,3.41%,19.81,2.51,5.36,1.56,28.68,29.30,5.05%,6.82,1.46%,11.55%,28.65%,4.59%,6.48,4,1.62
BUD,21.31,114970623348,17.42,,7.64,,11.42,5.09%,175744623348,2.94,8.40,6.27,6.44%,10.16,1.92,1.47,1.43,30.02,15.53,9.85%,,1.73%,62.24%,36.69%,1.72%,1.05,0,1.05
BA,,114794888560,36.90,1.32,,1.64,,-10.34%,142376888560,2.14,,,-10.02%,,1.73,,6.53,,,-12.42%,,,,,-2.19%,,,2.06
C,10.12,113042529600,7.91,1.32,,4.98,25.28,11.22%,427070529600,5.26,20.14,,-6.08%,,1.39,0.54,0.85,33.68,,-22.95%,0.68,3.64%,5.66%,37.68%,4.53%,2.24,2,0.56
BHP,9.70,55149653531,7.24,0.47,2.74,0.58,3.37,20.65%,67547653531,1.26,2.66,4.39,16.15%,5.05,1.03,1.21,,5.93,6.19,19.79%,2.59,5.67%,-18.51%,110.00%,5.56%,2.47,0,0.99
SPOT,96.53,110721945894,53.42,5.98,43.02,5.65,55.25,1.07%,104628852556,6.41,51.56,74.03,2.44%,43.34,6.78,17.92,1.28,88.26,40.95,2.31%,25.52,,,,-6.29%,,0,0.00
CB,12.54,113970841400,13.09,2.31,7.04,2.62,10.97,8.14%,129750841400,2.33,10.68,9.64,12.47%,7.04,2.04,1.78,2.38,13.99,8.02,14.20%,3.15,1.29%,5.81%,16.04%,2.48%,3.64,33,0.91
AMAT,18.01,111483154020,14.47,3.77,15.32,3.71,13.32,5.69%,109530154020,3.96,12.70,13.20,5.42%,18.78,4.03,5.99,1.47,17.27,18.45,5.32%,7.66,1.33%,22.06%,24.03%,3.48%,1.84,7,0.46
PANW,94.80,111411567000,48.66,11.13,35.85,10.82,85.41,1.13%,108320567000,12.64,65.59,81.59,2.71%,38.00,13.00,17.48,1.87,86.35,36.95,2.63%,71.73,,,,0.84%,,0,0.00
SHOP,53.86,106858319635,55.40,9.60,66.13,9.10,45.46,1.89%,101281319635,11.41,44.74,84.25,1.58%,66.91,12.03,9.25,1.12,50.16,63.42,1.49%,9.75,,,,-0.46%,,0,0.00
LMT,20.41,107186545890,16.51,1.43,15.37,1.66,17.22,4.98%,124973545890,1.76,14.18,12.73,4.23%,20.27,1.51,16.93,1.61,23.42,23.64,4.93%,,2.85%,4.88%,59.17%,7.36%,13.20,10,3.30
IBN,20.47,54242399363,18.73,,2.97,,4.33,9.79%,59420688910,2.10,4.26,,29.99%,3.04,1.92,1.84,,11.19,3.33,32.85%,3.13,0.78%,22.58%,29.79%,0.29%,0.24,4,0.24
MELI,49.83,95698440136,41.05,3.62,12.09,3.35,34.13,2.00%,88648440136,4.27,27.58,29.32,7.96%,13.56,4.61,21.99,1.49,46.39,12.56,7.38%,22.73,,,,0.61%,0.00,,0.15
AMT,42.73,96411242690,31.50,9.32,18.22,13.37,34.34,2.34%,138257142690,13.65,22.48,14.53,2.68%,26.05,9.52,28.51,1.33,61.31,37.36,3.84%,,3.26%,0.77%,141.07%,3.10%,6.80,10,1.70
ANET,32.65,91809536000,28.62,10.80,24.76,9.82,25.58,3.11%,83506063000,11.92,25.10,30.71,4.40%,24.97,13.11,9.19,2.04,29.28,22.72,4.00%,9.50,,,,-0.99%,,0,0.00
KKR,31.72,92422516550,18.12,10.18,13.90,13.95,17.27,3.33%,126701819550,5.79,17.27,,5.14%,14.20,4.22,3.91,0.51,41.19,19.47,7.04%,5.91,0.69%,6.06%,21.34%,-2.30%,0.70,5,0.18
ICE,32.21,88557703450,22.57,8.93,19.21,10.72,23.68,3.11%,106312703450,9.04,17.64,15.70,3.63%,22.96,7.53,3.20,2.60,38.60,27.56,4.36%,,1.24%,6.90%,40.17%,-0.70%,1.92,10,0.48
CI,26.54,87299487080,10.53,0.34,8.42,0.43,17.46,3.93%,111056487080,0.45,12.16,7.62,8.07%,9.75,0.35,2.13,0.60,32.34,12.40,10.26%,,1.85%,12.18%,49.83%,6.82%,6.04,4,1.51
BTI,23.44,87466214233,4.88,,6.67,,21.81,4.38%,127801016406,3.95,12.94,5.84,9.79%,6.99,2.71,1.41,0.33,33.32,10.21,14.31%,,7.29%,-0.20%,173.63%,7.42%,2.96,1,0.74
MCK,31.09,85026171440,18.51,0.22,34.23,0.24,22.65,3.32%,93652171440,0.27,18.73,13.47,1.74%,52.04,0.25,,1.16,33.14,57.31,1.92%,,0.42%,14.58%,13.01%,5.45%,2.84,10,0.71
BRK.A,12.49,1116465588000,24.52,2.90,36.50,3.10,10.38,7.97%,1193498588000,2.81,9.33,8.80,0.97%,96.11,2.63,1.72,9.68,13.41,102.75,1.04%,2.10,,,,0.77%,,0,0.00
TSLA,123.85,813200586400,96.78,7.52,54.49,7.25,84.59,0.87%,784850586400,8.03,53.59,62.38,0.46%,227.09,8.32,11.15,3.31,110.68,219.17,0.44%,11.21,,,,-0.72%,0.00,0,0.00
PLTR,461.42,205617701995,152.97,53.43,178.20,52.13,414.99,0.22%,200626933995,70.01,360.66,601.24,0.57%,180.17,71.76,41.10,3.30,434.08,175.80,0.56%,41.25,,,,-6.65%,,0,0.00
NVS,17.66,204678581674,12.13,3.83,11.62,4.16,15.20,5.83%,222622581674,4.30,8.95,9.39,7.34%,12.53,3.96,4.65,1.18,18.64,13.63,7.98%,,3.17%,-13.24%,55.83%,5.88%,3.28,2,3.28
AXP,17.10,168525810700,15.53,2.33,11.99,2.48,13.88,6.01%,178974810700,2.95,12.28,,6.78%,13.88,2.77,5.57,1.62,17.67,14.74,7.20%,6.47,1.33%,16.80%,23.41%,4.50%,3.28,3,0.82
HDB,20.38,165382415500,16.98,,13.96,,28.84,4.52%,234147139875,10.53,26.83,,4.80%,14.71,7.44,2.05,0.97,31.34,20.83,6.80%,2.66,1.99%,1.09%,121.60%,1.37%,1.29,9,0.59
MDT,25.04,105578692800,14.17,3.03,14.48,3.56,20.88,4.03%,124263692800,3.74,14.40,11.23,4.40%,19.31,3.18,2.14,1.41,29.17,22.73,5.18%,,3.39%,1.45%,85.62%,6.82%,2.80,49,0.70
BMY,,100476448800,7.25,2.18,6.61,3.02,,-8.91%,139266448800,2.88,115.48,5.18,10.01%,7.21,2.08,6.15,1.21,,9.99,13.88%,,4.92%,4.27%,,5.34%,2.48,3,0.62
CME,26.20,91305876800,23.37,14.10,24.74,14.17,19.69,3.81%,91728276800,14.96,18.36,21.37,3.92%,25.39,14.89,3.45,8.04,26.35,25.50,3.94%,,4.06%,8.25%,108.58%,3.98%,10.50,6,1.25
UBS,18.01,86704609485,13.68,2.30,26.44,7.30,40.67,5.86%,274926609485,5.09,26.04,,0.50%,62.87,1.61,1.02,0.40,54.07,199.37,1.59%,1.20,1.05%,-58.11%,19.08%,-2.20%,0.29,3,0.29
INTC,,85358549250,42.51,1.57,10.30,2.08,,-21.97%,113307549250,2.13,269.78,11.34,-13.82%,,1.61,0.86,0.50,,,-18.34%,1.20,,,,-1.61%,,0,0.13
AAPL,29.73,2824004579000,24.40,6.62,26.08,6.52,22.10,3.40%,2779435579000,7.02,20.23,20.49,3.54%,28.73,7.14,42.30,1.60,28.91,28.28,3.48%,42.15,0.53%,4.17%,15.92%,3.27%,1.00,10,0.25
GOOG,19.30,1879774074195,16.91,4.70,15.00,4.52,15.05,5.33%,1806691074195,5.16,13.34,15.04,4.03%,25.83,5.37,5.78,1.16,18.05,24.83,3.87%,6.64,0.51%,,9.95%,2.71%,0.80,1,0.20
GOOGL,19.05,1876727139640,16.67,4.69,14.98,4.51,15.02,5.33%,1803644139640,5.15,13.32,14.42,4.03%,25.79,5.36,5.77,1.04,18.02,24.79,3.88%,6.37,0.52%,,9.95%,2.72%,0.80,1,0.20
BRK.B,12.22,1087790820803,23.99,2.83,35.56,3.03,10.13,8.18%,1164823820803,2.75,9.11,8.87,1.00%,93.65,2.56,1.68,10.06,13.09,100.28,1.07%,2.12,,,,0.77%,,0,0.00
V,32.48,629383827024,27.18,15.22,28.96,15.30,25.60,3.17%,632546827024,17.19,24.54,24.61,3.22%,30.86,17.10,16.43,2.19,31.67,31.01,3.24%,,0.73%,14.43%,23.80%,13.74%,2.36,7,0.59
JPM,11.38,627894461600,12.04,3.52,,5.10,12.38,9.06%,909723461600,5.12,11.17,,-4.62%,,3.54,1.82,5.93,16.00,,-6.69%,2.32,2.22%,18.82%,25.57%,4.42%,5.05,10,1.40
MA,35.84,450418046400,30.52,13.86,30.47,14.08,28.77,2.86%,457506046400,16.24,27.24,26.22,2.97%,33.15,15.99,69.46,2.07,35.54,33.67,3.02%,,0.61%,15.45%,21.89%,2.62%,3.04,10,0.76
XOM,12.74,433566868800,13.61,1.26,7.88,1.32,9.32,7.77%,452089868800,1.29,6.29,6.72,6.79%,14.12,1.24,1.64,4.37,13.42,14.72,7.08%,1.64,3.96%,4.30%,50.53%,-6.94%,3.96,44,0.99
COST,55.34,420624794490,49.00,1.46,35.15,1.45,40.39,1.81%,415505794490,1.57,32.17,34.84,1.67%,60.74,1.59,16.45,5.41,54.52,60.00,1.65%,16.45,0.48%,-75.68%,27.09%,0.46%,4.64,0,1.16
NFLX,45.23,384335386930,35.50,8.51,52.21,8.64,36.53,2.27%,390334451930,10.01,14.83,35.70,1.77%,55.53,9.85,15.53,1.71,44.81,56.39,1.80%,31.14,,,,2.28%,,0,0.00
PG,26.02,383195387000,22.30,4.31,20.20,4.59,20.09,4.04%,407652387000,4.83,17.58,15.90,3.80%,24.77,4.54,7.49,3.16,26.33,26.35,4.04%,,2.46%,7.01%,64.19%,2.54%,4.03,69,1.01
ORCL,31.31,374561001100,20.05,5.87,18.06,7.10,26.24,3.25%,453014001100,8.12,19.44,16.32,1.28%,64.45,6.71,22.39,1.31,37.25,77.94,1.55%,,1.50%,6.25%,46.96%,-0.45%,2.00,10,0.50
JNJ,25.71,358670024750,14.09,3.95,14.78,4.09,21.26,3.92%,370782024750,4.17,14.96,11.98,5.35%,18.08,4.04,5.02,1.02,26.36,18.69,5.53%,,3.34%,4.20%,85.66%,8.45%,4.96,63,1.24
HD,23.72,351509595840,22.86,2.08,17.74,2.44,19.15,4.21%,412140595840,2.58,16.30,13.70,3.96%,21.53,2.20,52.94,4.12,27.84,25.25,4.64%,,2.60%,6.22%,61.70%,3.50%,9.20,10,2.30
ABBV,70.08,296702170500,13.36,4.89,15.78,5.91,61.06,1.44%,358291170500,6.36,25.14,11.09,4.98%,16.64,5.27,89.23,0.38,83.75,20.09,6.01%,,3.77%,5.28%,274.48%,3.86%,6.56,53,1.64
SAP,92.83,298937464931,40.19,7.72,51.06,7.83,62.30,1.09%,303208107961,8.52,48.11,32.52,1.68%,58.65,8.40,5.87,1.75,93.18,59.49,1.71%,25.02,0.71%,-28.87%,67.13%,0.89%,1.84,1,1.84
TMUS,26.44,291606104700,23.64,3.34,13.08,4.49,21.64,3.89%,392098104700,4.82,12.63,9.38,3.43%,21.68,3.58,4.72,1.42,34.58,29.15,4.61%,,1.37%,68.72%,36.44%,3.62%,3.52,1,0.88
BAC,11.20,273312199200,9.63,2.48,,3.28,12.32,9.33%,360545199200,3.54,11.47,,-2.44%,,2.68,0.92,1.32,14.14,,-3.22%,1.34,2.90%,8.51%,32.40%,4.68%,1.04,10,0.26
ASML,32.36,256421186256,27.28,7.70,20.49,7.42,23.90,3.08%,247304025649,8.40,21.74,24.89,4.12%,25.15,8.71,12.38,1.36,31.36,24.26,3.98%,18.50,0.97%,-4.21%,31.53%,1.10%,6.28,1,1.63
CRM,39.66,242383420000,22.54,5.85,18.51,5.79,32.23,2.56%,239743420000,6.33,21.96,21.75,5.19%,19.49,6.40,3.96,1.10,38.69,19.28,5.13%,44.38,0.65%,,26.16%,1.67%,1.66,1,0.42
CVX,13.89,236177205600,12.88,1.21,7.50,1.30,9.07,7.48%,253933205600,1.25,5.61,5.93,8.96%,10.38,1.16,1.55,3.10,14.38,11.16,9.63%,1.61,5.07%,7.14%,70.37%,9.87%,6.84,38,1.71
PM,33.44,235048186200,20.55,5.75,19.24,6.76,24.65,3.00%,276527186200,7.30,21.26,15.67,3.90%,21.82,6.21,,2.21,39.18,25.67,4.58%,,3.57%,3.48%,119.47%,3.42%,5.40,10,1.35
TM,6.80,217251506908,0.05,0.00,7.40,0.01,6.63,15.00%,330297411224,1.11,5.06,5.46,1.92%,34.34,0.73,0.87,1.54,10.13,52.21,2.91%,1.04,2.91%,8.25%,200.57%,5.63%,4.87,2,2.32
CSCO,24.71,225131431100,14.57,3.82,16.55,4.01,20.76,4.08%,236242431100,4.36,16.16,15.43,5.42%,17.57,4.16,4.94,2.48,25.71,18.44,5.69%,,2.90%,2.55%,72.04%,4.57%,1.64,10,0.41
MCD,26.46,215236672000,24.37,8.08,22.78,9.99,22.46,3.82%,266099672000,10.27,19.08,15.45,2.55%,31.68,8.30,,2.65,32.36,39.17,3.16%,,2.31%,7.84%,62.16%,3.77%,7.08,50,1.77
ABT,16.31,214985440040,23.95,4.80,25.12,4.94,29.21,6.23%,221143440040,5.27,20.50,20.17,2.87%,33.85,5.12,4.49,4.17,16.50,34.82,2.95%,12.07,1.90%,7.55%,30.89%,1.96%,2.36,53,0.59
IBM,35.30,210488928000,20.87,3.21,15.66,3.78,32.97,2.86%,247820928000,3.95,20.34,20.16,4.97%,17.09,3.35,7.71,1.61,41.15,20.12,5.85%,,2.91%,0.60%,103.91%,1.31%,6.68,10,1.67
WFC,11.61,202864390800,10.49,2.37,66.84,3.28,12.17,9.17%,281387390800,3.42,9.17,,1.08%,66.84,2.47,1.13,1.51,15.12,92.71,1.50%,1.50,2.54%,14.81%,29.80%,9.35%,1.60,3,0.40
LIN,31.60,203541324800,25.87,5.96,21.60,6.46,24.97,3.23%,220314324800,6.68,17.48,16.07,2.24%,41.32,6.17,5.34,2.24,33.56,44.72,2.42%,246.72,1.39%,8.72%,44.05%,3.45%,6.00,10,1.50
PEP,20.87,198908515500,17.40,2.14,15.90,2.52,18.25,4.82%,233948515500,2.55,14.07,11.47,3.22%,26.41,2.17,11.03,2.47,24.43,31.06,3.79%,,3.76%,7.11%,77.99%,4.10%,5.42,53,1.36
MRK,11.41,194378778000,8.49,2.95,9.05,3.31,10.28,8.81%,217800778000,3.39,8.48,6.64,8.31%,10.74,3.03,4.20,0.72,12.72,12.04,9.31%,23.38,4.18%,5.33%,48.07%,4.45%,3.24,10,0.81
T,17.66,188893806700,12.72,1.49,4.87,2.58,14.74,5.69%,326518806700,2.67,7.64,4.30,5.67%,10.21,1.54,1.81,1.10,30.39,17.64,9.80%,,4.21%,,74.50%,3.86%,1.11,0,0.28
VZ,10.24,178607046750,8.80,1.27,4.84,2.43,11.74,9.80%,342770046750,2.54,7.28,3.73,5.78%,9.01,1.33,1.80,2.13,19.58,17.29,11.10%,,6.31%,1.89%,65.46%,6.21%,2.71,10,0.68
ACN,23.34,176896166820,21.26,2.48,17.00,2.47,17.29,4.34%,176460996820,2.63,14.19,15.44,5.52%,18.15,2.63,6.05,2.38,22.97,18.10,5.51%,31.17,2.08%,14.83%,48.85%,2.48%,5.92,5,1.48
MS,13.20,169535778900,11.83,2.49,124.48,5.51,21.46,7.55%,374570778900,6.06,16.56,,-0.56%,,2.75,1.62,119.42,29.26,,-1.24%,2.36,3.47%,9.02%,46.54%,5.62%,3.70,3,0.93
RTX,35.78,169976983350,20.55,2.00,23.74,2.44,26.52,2.81%,207291983350,2.57,17.02,13.22,2.19%,37.49,2.11,2.83,1.33,43.42,45.72,2.67%,,1.98%,6.78%,70.99%,8.39%,2.52,10,0.63
NOW,115.58,163842609250,47.91,12.45,38.40,12.19,92.27,0.87%,160358609250,14.60,69.66,83.45,2.13%,47.98,14.92,17.05,1.87,112.53,46.96,2.08%,20.14,,,,-1.38%,0.00,0,0.00
INTU,53.94,161491784920,27.92,8.22,27.85,8.37,41.58,1.88%,164475784920,9.58,34.00,34.26,3.42%,28.67,9.41,9.00,1.63,54.16,29.20,3.49%,,0.72%,15.52%,38.88%,1.07%,4.16,10,1.04
TMO,25.63,159739852620,18.03,3.61,18.43,4.19,22.12,3.97%,185444852620,4.32,16.14,14.82,3.95%,21.81,3.73,3.22,1.68,29.27,25.32,4.58%,,0.40%,11.11%,10.41%,1.69%,1.72,7,0.43
HSBC,7.74,170267454000,47.72,,2.61,,4.28,13.46%,147105454000,2.23,3.82,,44.39%,2.61,2.59,0.92,2.18,6.42,2.25,38.35%,0.93,8.98%,42.90%,349.19%,14.10%,4.33,4,1.80
PGR,19.10,160951093800,17.48,1.84,10.65,1.92,15.26,5.26%,167690093800,2.22,14.87,14.29,8.89%,10.79,2.14,6.29,0.12,19.81,11.25,9.26%,6.36,1.79%,326.09%,34.03%,1.75%,4.90,1,0.10
