Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS,PE Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,PS Ratio,P/FCF,Est. EPS,Est. Rev. Growth,Div. Yield,Div. Growth,Div. ($),Years,Last Div.,Div. CAGR 5Y,Rev Gr. Next Q,Rev Gr. Next 5Y,Rev Gr. This Y,Rev Gr. Next Y,Rev Gr. This Q,Revenue,Est. EPS Growth,Assets,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,Earnings Yield
CVX,6785000000.0,-0.050300000000000004,-17756000000.0,24541000000.0,0.0,-0.0786,0.1778,-0.0187,-0.0746,0.11199999999999999,0.1283,0.0951,0.068,0.11,0.0,0.1023,0.066,0.0,0.78,7.0,17.12,3.66,136.26,10152361,38.7,37.98,43.58,9.72,14.02,1.56,3.55,14.48,11.24,0.0956,1.17,10.46,2.39,-0.0063,0.050199999999999995,0.07139999999999999,6.84,38.0,1.71,0.0588,-0.0521,0.0,-0.0334,0.011699999999999999,0.022099999999999998,202792000000.0,-0.1843,256938000000.0,238008067200.0,13.37,1.23,7.56,1.32,0.0742
WFC,203361000000.0,-0.0409,-78523000000.0,281884000000.0,0.0,0.1305,-0.051399999999999994,-0.0326,-0.33520000000000005,0.10300000000000001,0.0,0.0371,0.01,0.0784,0.0,0.0432,0.0076,0.0,0.04,3.0,0.0,0.0,71.81,18706336,60.86,53.22,62.76,5.57,12.89,1.31,1.76,16.81,103.05,0.013000000000000001,2.87,77.17,1.24,-0.0059,0.0223,0.1481,1.6,3.0,0.4,-0.0535,0.1244,0.0,0.0793,0.0481,0.0832,81582000000.0,0.0333,1929845000000.0,234222677000.0,11.8,2.71,77.17,3.62,0.0794
CSCO,19927000000.0,-0.0297,-11111000000.0,31038000000.0,0.0,0.3935,1.6744999999999999,0.1418,-0.048,0.20199999999999999,0.1399,0.2005,0.075,0.2792,0.0,0.1261,0.11599999999999999,0.0,0.44,5.0,6.16,2.54,58.12,16395887,52.25,49.24,56.93,2.29,25.45,5.09,2.68,26.43,18.95,0.0553,4.28,18.09,0.92,0.1061,0.0282,0.0255,1.64,10.0,0.41,0.0269,0.128,0.04769999999999999,0.06860000000000001,0.051,0.10640000000000001,54176000000.0,0.0455,121375000000.0,231695609600.0,15.01,3.93,17.03,4.12,0.0397
ABT,7967000000.0,-0.057,-6158000000.0,14125000000.0,0.0,-0.0785,-0.0377,-0.048799999999999996,-0.0271,0.322,0.11259999999999999,0.1343,0.17800000000000002,0.2022,371439.0,0.21030000000000001,0.10220000000000001,117561.0,0.56,5.0,2.93,5.85,130.88,6764377,54.35,58.92,60.99,7.7,17.01,4.75,4.17,17.42,36.76,0.0279,5.37,35.79,1.07,0.042800000000000005,0.018000000000000002,0.0755,2.36,53.0,0.59,0.10890000000000001,0.0702,0.07,0.0745,0.077,0.0756,42344000000.0,0.09179999999999999,81414000000.0,227317322400.0,24.26,4.97,26.56,5.11,0.059000000000000004
MCD,1085000000.0,-0.0274,-50863000000.0,51948000000.0,0.0,0.0173,-0.0215,0.0178,-0.2263,-1.765,0.2309,0.17620000000000002,0.15,-1.2512,0.0,0.1934,0.1344,0.0,0.47,1.0,199.47,5.18,313.64,5183349,51.9,57.91,61.05,11.39,27.6,0.0,2.78,33.51,40.56,0.0302,8.67,33.08,2.66,-0.0128,0.0226,0.0784,7.08,50.0,1.77,0.0698,0.015700000000000002,0.0559,0.0323,0.0528,0.032799999999999996,25920000000.0,-0.0148,55182000000.0,224725677440.0,24.98,8.34,23.79,10.23,0.0366
NVS,7196000000.0,-0.0042,-24074000000.0,31270000000.0,0.0,-0.0008,0.1461,-0.0315,-0.109,0.307,0.23379999999999998,0.1118,0.128,0.2564,701369.0,0.196,0.114,169458.0,0.53,6.0,2.24,0.0,111.23,2086992,53.52,55.14,56.77,6.38,17.47,5.76,1.31,19.05,13.84,0.0801,4.15,12.48,2.08,0.0981,0.0359,0.0574,3.99,2.0,3.99,0.034,0.09210000000000002,0.0263,0.0588,0.0207,0.1043,53222000000.0,0.15560000000000002,99941000000.0,220897835869.0,12.95,4.11,11.63,4.56,0.0582
IBM,22719000000.0,0.1445,-44116000000.0,66835000000.0,0.0,0.051100000000000007,0.063,-0.0077,-0.1971,0.213,0.0687,0.0776,0.04,0.2408,232457.0,0.0759,0.038,20248.0,0.46,5.0,20.43,3.18,239.66,4238568,49.97,53.67,66.58,5.83,41.32,8.33,1.67,48.95,21.33,0.056100000000000004,3.56,17.82,1.4,-0.0043,0.027999999999999997,0.006,6.72,10.0,1.68,0.0152,0.055,0.049,0.0478,0.04650000000000001,0.0388,62833000000.0,-0.16670000000000001,145667000000.0,223808091570.0,21.8,3.38,16.4,4.05,0.0245
GE,13405000000.0,0.0155,-6166000000.0,19571000000.0,0.0,-0.16510000000000002,-0.04650000000000001,-0.2548,-0.028300000000000002,0.368,0.1001,0.0463,0.055999999999999994,0.1166,748736.0,0.1448,0.0,131981.0,0.32,6.0,1.75,2.76,203.61,4681672,60.85,56.97,72.97,6.43,31.81,11.32,8.78,32.03,49.9,0.0206,5.49,48.52,1.26,-0.43939999999999996,0.0070999999999999995,1.3077,1.44,2.0,0.36,0.36869999999999997,0.051399999999999994,0.07429999999999999,0.0512,0.1051,0.0655,39683000000.0,0.5366,124123000000.0,217916796500.0,34.88,5.24,41.69,5.39,0.0321
LIN,5294000000.0,0.1052,-18603000000.0,23897000000.0,0.0,0.1324,0.1761,0.0721,-0.08779999999999999,0.172,0.1306,0.0776,0.081,0.11359999999999999,505705.0,0.1057,0.0574,101257.0,0.41,6.0,8.37,3.91,448.05,2536103,48.65,49.2,56.75,13.78,32.51,5.57,2.42,34.86,46.93,0.0232,6.42,43.15,4.09,0.0358,0.0134,0.08439999999999999,6.0,10.0,1.5,0.0947,0.0255,0.0332,0.0325,0.0542,0.0269,33017000000.0,0.0907,82704000000.0,211888221600.0,26.92,6.21,22.0,6.75,0.031200000000000002
MRK,13689000000.0,-0.026699999999999998,-23422000000.0,37111000000.0,0.0,0.0388,0.0587,0.0709,-0.1115,0.392,0.2389,0.1298,0.151,0.2768,855573.0,0.2051,0.10099999999999999,228227.0,0.57,2.0,2.44,3.79,83.26,10024111,49.76,35.57,33.1,6.74,12.4,4.54,0.77,13.65,12.91,0.0861,3.27,11.61,2.14,-0.0301,0.038900000000000004,0.0533,3.24,10.0,0.81,0.0683,0.04019999999999999,0.0258,0.0231,0.0635,-0.0024,64168000000.0,0.0338,117106000000.0,210143728900.0,9.06,3.15,9.79,3.5,0.0815
