Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
JNJ,24522000000,2.47%,-12112000000,36634000000,,2.77%,24.89%,5.75%,-3.38%,19.90%,13.44%,17.28%,7.90%,29.22%,643164,16.22%,11.62%,101854,0.50,6,2.33,4.04,148.69000,13704173,34.51,40.98,45.02,5.79
HD,1659000000,-1.72%,-60631000000,62290000000,,10.42%,19.23%,10.75%,-17.25%,317.30%,31.91%,31.74%,16.00%,2863.10%,339319,23.83%,20.18%,31495,1.73,5,4.78,6.10,353.62000,3970245,44.66,37.90,49.37,14.91
ABBV,5555000000,-5.54%,-61589000000,67144000000,,-4.33%,13.07%,0.12%,-20.76%,70.90%,6.09%,16.38%,3.00%,64.02%,1024255,14.96%,5.24%,77782,0.40,6,4.08,1.71,174.20000,11649147,25.81,40.96,50.67,2.39
KO,14571000000,-3.77%,-29951000000,44522000000,,1.35%,5.84%,0.81%,-9.99%,41.00%,19.55%,12.70%,10.40%,41.86%,675194,11.72%,10.12%,152525,0.46,4,4.00,4.44,70.76000,17405016,53.63,61.71,61.23,2.46
SAP,15611174102,62.60%,-4270643030,19881817132,,-6.42%,10.65%,-4.22%,-1.43%,7.30%,7.60%,8.78%,4.40%,11.68%,323716,11.61%,6.42%,29591,0.48,7,,7.12,258.49000,2406614,45.63,52.06,72.74,2.76
TMUS,9788000000,-1.93%,-100492000000,110280000000,,1.32%,0.89%,22.43%,-34.46%,18.10%,9.65%,4.75%,5.40%,8.90%,116286,8.12%,2.78%,16199,0.39,7,18.05,1.96,256.12000,5404155,48.19,59.14,72.37,9.66
BAC,571195000000,-10.21%,-87233000000,658428000000,,9.89%,6.51%,8.89%,-31.92%,8.60%,,3.64%,0.80%,8.84%,478343,3.41%,0.80%,119732,0.03,2,,,35.85000,89285335,34.13,34.25,45.96,3.21
NVO,3947907667,80.42%,-11476814296,15424721963,,56.83%,280.61%,87.10%,-4.61%,85.00%,-12.93%,52.95%,26.40%,78.68%,523633,41.38%,27.94%,182094,0.76,5,1.23,4.86,61.21000,9930221,28.89,28.07,33.93,3.16
ASML,14369867864,-0.10%,9117160607,5252707258,116.52%,0.75%,1.21%,8.56%,3.56%,48.00%,30.08%,34.91%,17.80%,52.00%,668692,31.88%,18.16%,179142,0.66,6,1.40,6.41,649.55000,2934532,44.60,39.07,43.95,20.04
CRM,14032000000,-0.28%,2640000000,11392000000,64.38%,-6.61%,-9.50%,14.19%,1.09%,10.50%,9.92%,3.35%,6.50%,6.24%,495664,8.27%,3.94%,81056,0.40,6,,4.33,255.12000,9367188,39.25,36.39,48.63,6.36
CVX,6785000000,-5.03%,-17756000000,24541000000,,-7.86%,17.78%,-1.87%,-7.52%,11.20%,12.83%,9.51%,6.80%,11.00%,4476842,10.23%,6.60%,389885,0.78,7,17.12,3.65,134.98000,20887590,30.87,36.27,43.14,9.72
BABA,61969786041,14.47%,30316494634,31653291407,-50.55%,18.36%,39.54%,13.60%,12.15%,12.40%,-11.04%,7.07%,6.70%,12.32%,656391,8.04%,6.88%,80469,0.55,6,,2.89,104.18000,44172966,30.92,47.85,51.62,6.84
PM,4216000000,-7.17%,-41479000000,45695000000,,18.01%,-4.62%,8.04%,-17.65%,-68.00%,28.86%,36.96%,10.90%,-78.78%,455812,27.66%,17.06%,84922,0.58,7,1.32,3.87,151.17000,7794216,47.83,66.57,69.40,4.52
TM,178122559128,8.92%,-113045904316,291168463444,,16.94%,17.00%,15.02%,-52.03%,14.50%,-0.17%,3.99%,5.50%,11.18%,784910,4.46%,4.28%,85601,0.51,5,8.49,1.63,167.22000,721357,40.88,41.78,44.54,24.43
CSCO,19927000000,-2.97%,-11111000000,31038000000,,39.35%,167.45%,14.18%,-4.94%,20.20%,13.99%,20.05%,7.50%,27.92%,638115,12.61%,11.60%,108210,0.44,5,6.16,2.49,56.59000,31453499,40.82,45.17,54.52,2.29
MCD,1085000000,-2.74%,-50863000000,51948000000,,1.73%,-2.15%,1.78%,-23.63%,-176.50%,23.09%,17.62%,15.00%,-125.12%,172800,19.34%,13.44%,54820,0.47,5,199.47,5.08,306.78000,5231666,50.56,55.38,59.11,11.39
ABT,7967000000,-5.70%,-6158000000,14125000000,,-7.85%,-3.77%,-4.88%,-2.86%,32.20%,11.26%,13.43%,17.80%,20.22%,367982,21.03%,10.22%,117561,0.56,6,2.93,5.62,124.50000,11085166,40.95,52.21,56.29,7.64
IBM,21064000000,-2.88%,-37332000000,58396000000,,1.93%,-2.57%,-3.04%,-17.74%,24.30%,7.23%,7.76%,4.40%,24.08%,232161,9.09%,3.80%,22283,0.46,7,22.20,3.34,229.55000,4545953,40.10,48.61,62.47,6.43
PLTR,5229987000,-6.16%,4990768000,239219000,44.88%,-2.75%,4.28%,-9.59%,2.43%,10.70%,9.05%,-14.50%,8.40%,97.30%,728025,5.66%,-13.74%,117426,0.52,5,,99.47,88.59000,123826122,51.94,57.07,88.35,0.19
WFC,203361000000,-4.09%,-78523000000,281884000000,,13.05%,-5.14%,-3.26%,-38.71%,10.30%,,3.71%,1.00%,7.84%,379244,4.32%,0.76%,85742,0.04,3,,,63.11000,25379563,36.42,40.17,53.69,5.37
