Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
TTC,171300000,17.64%,-1053600000,1224900000,,1.45%,-6.77%,9.13%,-15.98%,25.80%,20.69%,17.75%,10.90%,30.08%,399241,15.83%,11.80%,35485,1.23,6,2.62,4.34,66.62000,1038497,36.18,28.39,34.96,3.91
AZEK,148134000,-0.20%,-283985000,432119000,,-2.41%,-26.15%,,-4.32%,10.60%,11.44%,4.35%,6.50%,2.62%,664773,9.80%,2.02%,65454,0.66,7,3.79,6.28,46.26000,5988474,51.13,49.93,55.47,1.00
BFAM,110327000,-2.76%,-1682274000,1792601000,,0.17%,-3.62%,-0.17%,-25.07%,10.80%,8.03%,3.84%,3.60%,6.50%,83807,5.69%,2.08%,4374,0.70,8,,2.66,115.88000,694565,41.58,44.56,51.42,2.40
BILI,2268698065,12.52%,1607547064,661151001,54.04%,-36.64%,-35.14%,7.21%,23.05%,-9.70%,1.72%,-18.60%,-4.30%,-30.08%,454445,-7.09%,-12.54%,-22811,0.85,5,,1.34,15.92000,6241121,34.63,43.15,45.13,-0.44
SRAD,390352705,-1.07%,338001560,52351146,32.86%,-52.48%,-6.83%,,5.16%,3.80%,5.20%,6.20%,1.50%,4.34%,251563,19.58%,1.42%,7764,0.49,7,,3.40,22.02500,1779401,53.90,65.10,69.21,0.10
ATI,721200000,0.63%,-1174100000,1895300000,,0.94%,-13.04%,6.26%,-18.07%,23.50%,14.41%,-3.15%,7.40%,5.34%,566506,12.69%,-0.62%,47766,0.87,6,2.66,2.81,46.38000,1733593,39.12,34.72,46.77,2.55
AXTA,596000000,-2.95%,-2825000000,3421000000,,-3.69%,-2.37%,-2.25%,-42.85%,21.40%,11.89%,7.51%,5.40%,15.86%,439667,10.44%,3.50%,32583,0.72,8,4.72,2.34,30.22000,3357128,38.56,32.20,45.13,1.78
LNW,312000000,-0.13%,-3589000000,3901000000,,-23.55%,-0.31%,-15.04%,-54.06%,43.10%,15.24%,7.02%,6.10%,517.68%,468824,11.75%,12.28%,49412,0.58,7,5.56,2.22,78.09000,1572682,37.51,41.60,49.34,3.68
KNX,365945000,-2.67%,-2911346000,3277291000,,13.57%,2.42%,24.51%,-44.14%,1.70%,2.93%,5.60%,0.90%,7.08%,209917,1.83%,4.52%,3332,0.58,5,,1.65,40.59000,3696317,37.85,31.92,39.09,0.73
ENPH,1717596000,0.17%,415216000,1302380000,3.47%,7.87%,0.67%,65.30%,6.39%,11.50%,4.98%,16.36%,3.20%,37.18%,478383,3.09%,10.06%,36914,0.41,6,3.70,2.66,49.56000,4931342,33.59,30.34,35.26,0.75
FN,934631000,77.72%,907944000,26687000,26.78%,-26.56%,9.19%,-16.47%,13.75%,18.40%,18.30%,13.91%,13.60%,15.72%,212960,15.27%,11.18%,22234,1.31,5,6.06,9.12,182.80000,1227173,43.28,40.94,48.66,8.94
LTH,27878000,-3.24%,-3959419000,3987297000,,2.02%,-6.41%,,-62.86%,6.30%,5.38%,-1.26%,2.20%,-9.02%,62405,4.06%,,3720,0.37,8,30.02,1.22,30.05000,1820656,49.44,59.10,66.20,0.74
AAON,6514000,178.20%,-148377000,154891000,,57.03%,304.12%,,-2.27%,21.40%,20.94%,18.22%,16.20%,21.14%,249509,17.42%,15.56%,35029,1.15,4,4.01,14.02,80.42000,936569,46.32,35.75,48.77,2.02
POST,875100000,1.95%,-6070500000,6945600000,,-2.38%,9.98%,1.21%,-93.72%,9.90%,6.95%,4.73%,3.10%,,690897,5.77%,,34138,0.64,7,7.16,1.60,115.58000,876171,55.21,55.27,61.89,6.07
AN,59800000,-0.06%,-4885200000,4945000000,,12.66%,6.30%,15.47%,-74.85%,29.50%,19.66%,17.26%,5.50%,40.42%,1066351,12.84%,9.74%,27578,2.11,3,6.88,3.19,166.30000,762972,47.71,45.23,52.40,16.92
WTFC,4861770000,-3.02%,623809000,4237961000,,20.44%,15.69%,18.91%,9.65%,11.30%,,6.14%,1.10%,10.00%,398071,6.57%,0.92%,113007,0.04,4,,,97.34000,554952,34.17,31.78,47.37,10.31
CRDO,379208000,0.08%,366252000,12956000,-7.87%,78.60%,11.68%,,5.64%,0.90%,2.28%,2.53%,0.80%,,655064,-0.25%,,10236,0.50,5,2.80,39.50,38.24000,5394290,42.37,40.99,53.61,0.01
KBR,350000000,-1.58%,-2447000000,2797000000,,9.68%,39.29%,14.33%,-38.53%,26.00%,13.30%,6.18%,6.00%,3.74%,203737,9.89%,0.84%,9868,1.25,7,,2.52,48.95000,1464448,46.28,35.71,40.30,2.79
RGEN,757355000,2.05%,71108000,686247000,79.93%,23.30%,-3.59%,21.12%,1.10%,-1.30%,-0.23%,3.70%,-0.90%,4.68%,356827,-1.32%,3.58%,-14350,0.22,5,2.08,5.33,115.19000,834624,37.66,34.50,40.34,-0.46
GNRC,281277000,-11.69%,-1194460000,1475737000,,3.74%,-14.87%,7.26%,-18.54%,13.10%,12.23%,12.18%,6.20%,19.94%,464967,10.46%,8.74%,34237,0.84,7,2.39,3.66,108.41000,1328858,34.27,27.04,40.69,5.39
MHK,666600000,1.43%,-1961700000,2628300000,,-1.22%,-16.56%,-1.95%,-30.80%,6.70%,6.87%,3.51%,3.90%,3.96%,258637,5.47%,2.40%,12356,0.82,8,3.22,2.83,103.02000,1230329,40.34,33.09,43.73,8.14
ALB,1192230000,-1.48%,-2323935000,3516165000,,13.67%,-15.61%,2.88%,-36.15%,-12.30%,-6.33%,4.24%,-7.40%,11.16%,647895,-13.18%,5.24%,-158566,0.30,4,2.90,1.34,54.71000,5265505,31.58,26.47,31.87,-11.20
UFPI,1210681000,-12.16%,853761000,356920000,10.49%,-6.53%,-7.12%,7.92%,13.31%,13.20%,15.08%,17.26%,10.00%,21.72%,443487,10.63%,14.18%,27637,1.60,6,7.49,7.82,105.79000,468445,47.17,38.45,48.95,6.77
WH,103000000,-0.97%,-2360000000,2463000000,,5.73%,11.90%,3.03%,-36.91%,45.70%,13.10%,9.50%,7.00%,24.46%,612174,12.49%,5.08%,125652,0.34,6,,2.01,82.50000,877635,38.04,33.68,49.79,3.61
OTEX,1122192000,-0.26%,-5537986000,6660178000,,13.97%,-24.69%,11.88%,-86.72%,15.80%,12.02%,4.43%,4.50%,7.68%,236366,5.83%,2.74%,28853,0.37,5,,1.32,24.69000,1586954,44.01,35.08,35.11,2.46
RRX,393500000,-3.64%,-5213900000,5607400000,,40.19%,-14.39%,35.89%,-77.94%,3.10%,5.04%,4.68%,1.30%,4.86%,195903,4.29%,2.72%,6370,0.41,6,3.07,1.43,96.68000,1019312,37.26,27.02,37.42,2.94
UMBF,9104445000,-13.39%,6109438000,2995007000,294.30%,-5.15%,-30.40%,8.77%,96.55%,13.20%,,6.03%,0.90%,12.64%,424002,6.83%,0.94%,119319,0.03,3,,,88.14000,484657,34.47,32.73,47.17,8.99
LLYVA,,,,,,,,,,,,,,,,,,,,1,,,66.73000,223679,48.90,54.23,73.04,-0.34
EAT,14800000,-7.91%,-1821800000,1836600000,,-6.50%,-11.77%,-6.59%,-28.94%,768.40%,18.59%,10.77%,10.30%,-69.52%,70088,16.05%,4.36%,3820,1.90,7,113.55,3.67,142.77000,1616366,47.54,54.93,69.53,5.76
SATS,5698327000,9.60%,-24116397000,29814724000,,163.43%,15.18%,64.35%,-384.30%,-0.60%,0.75%,11.14%,-0.20%,15.84%,1155147,-0.61%,8.44%,-8726,0.28,3,21.02,0.69,22.10000,1938162,36.91,41.88,50.72,-0.44
WTS,386900000,-6.99%,189900000,197000000,266.60%,11.56%,-33.96%,-8.62%,3.01%,17.70%,20.25%,14.09%,12.20%,16.54%,469208,15.46%,10.72%,60667,0.95,6,3.01,8.01,189.58000,157528,40.02,39.42,50.15,8.69
FBIN,381100000,-3.79%,-2413800000,2794900000,,1.04%,-0.66%,3.76%,-38.49%,20.00%,14.64%,11.33%,7.10%,22.12%,417444,11.02%,8.08%,42741,0.69,6,2.62,2.68,51.48000,1960923,36.65,27.42,40.00,3.75
BZ,2007124205,-15.74%,1965818990,41305216,13.85%,-0.95%,7.87%,26.07%,57.74%,10.80%,-16.30%,8.73%,8.30%,12.96%,188482,6.58%,-6.14%,40606,0.39,7,,,14.31000,5992254,30.82,44.51,44.32,0.49
ZION,4954000000,37.93%,172000000,4782000000,,35.67%,-2.82%,4.84%,2.70%,12.10%,,7.26%,0.80%,12.24%,315942,7.19%,0.88%,76144,0.04,4,,,42.47000,2337190,35.51,33.15,45.62,4.95
RVMD,2292997000,56.67%,2157154000,135843000,22.01%,26.80%,54.47%,,35.21%,-33.50%,-25.09%,-27.71%,-29.90%,-33.40%,,-28.72%,-28.60%,-1123770,,2,,,33.67000,1871350,40.40,34.60,46.84,-3.58
AGCO,612700000,-33.13%,-2163300000,2776000000,,19.68%,81.84%,13.19%,-34.83%,-10.20%,-3.17%,12.27%,-3.30%,16.98%,485913,,6.34%,-17700,0.90,3,2.84,2.34,83.91000,1465519,43.43,40.61,39.06,-5.69
AAL,7716000000,-4.16%,-29828000000,37544000000,,-6.67%,-7.67%,2.34%,-467.39%,-17.70%,8.24%,-3.67%,1.30%,37.24%,406684,5.71%,-2.88%,6347,0.85,6,9.84,0.73,9.51000,83873618,37.86,28.83,39.32,1.24
WAY,204582000,-0.17%,-1058626000,1263208000,,,-43.84%,,-17.01%,-0.70%,2.79%,,-0.40%,,629033,,,-12750,0.21,6,,2.78,36.23000,1185621,44.04,52.14,0.00,-0.13
BXSL,229606000,10.44%,-6826485000,7056091000,,8.67%,43.65%,37.15%,-110.33%,12.40%,,6.83%,5.70%,11.22%,,7.80%,5.22%,,0.11,3,,,27.34000,2534745,29.91,31.10,40.77,3.45
IDA,368865000,-1.60%,-2704797000,3073662000,,15.39%,8.78%,10.85%,-43.22%,9.10%,5.48%,5.60%,3.30%,9.26%,857574,4.93%,3.36%,135762,0.21,4,6.10,1.36,115.29000,300320,51.11,58.48,60.80,5.50
LLYVK,,,,,,,,,,,,,,,,,,,,1,,,67.87000,336393,53.51,57.05,74.71,-0.34
GIL,98799000,4.28%,-1554491000,1653290000,,32.60%,52.65%,12.28%,-25.70%,23.60%,21.48%,14.53%,10.80%,19.70%,64129,15.50%,10.88%,7860,0.88,5,2.06,3.79,40.18000,1022851,33.70,31.16,49.14,2.46
SSD,239371000,-13.93%,-221876000,461247000,,131.68%,-14.05%,75.22%,-3.59%,18.00%,18.09%,17.55%,11.60%,22.00%,380133,14.08%,14.50%,54875,0.80,5,2.11,6.55,147.83000,301036,40.37,33.81,45.83,7.60
JAZZ,2992864000,-0.57%,-3154714000,6147578000,,0.06%,6.50%,28.44%,-51.85%,14.20%,6.44%,4.70%,4.80%,3.58%,1453196,8.36%,1.52%,200043,0.35,6,0.83,1.48,102.05000,2409453,28.02,34.20,40.16,8.65
ALV,330000000,-13.26%,-1738000000,2068000000,,-1.13%,1.57%,-1.69%,-28.14%,27.80%,23.52%,10.78%,8.00%,17.80%,147795,16.69%,5.56%,9189,1.28,5,8.76,2.77,79.70000,766981,36.84,29.86,39.68,8.04
IONQ,340289000,-3.16%,322564000,17725000,-7.13%,61.46%,118.69%,91.74%,5.65%,-75.30%,-70.21%,-27.70%,-64.20%,-49.60%,105830,-57.88%,-30.94%,-814857,0.08,3,,24.37,25.89000,18608282,52.79,49.10,57.68,-1.56
FAF,1718100000,-18.46%,-702200000,2420300000,,-0.54%,10.32%,12.73%,-11.37%,2.70%,,7.95%,0.90%,10.14%,319006,3.44%,3.48%,6825,0.40,5,,,59.98000,1162446,40.55,43.51,49.40,1.26
AA,1138000000,-13.23%,-1407000000,2545000000,,13.80%,40.53%,7.17%,-22.88%,1.30%,4.51%,-11.17%,0.40%,-1.78%,855755,1.07%,-0.66%,4317,0.83,6,4.83,1.37,23.75000,11055559,31.13,27.39,40.21,0.26
BBIO,681227000,27.75%,-1528448000,2209675000,,8.58%,27.00%,88.93%,-24.87%,,-56.91%,-99.95%,-66.40%,4.34%,303975,-79.94%,-70.02%,-733921,0.28,5,,-3.75,32.31000,3097639,46.20,52.18,55.46,-2.88
PB,1972467000,-17.12%,-1449446000,3421913000,,96.92%,-15.18%,13.62%,-23.79%,6.60%,,5.94%,1.20%,7.52%,302155,4.41%,1.34%,122417,0.03,3,,,64.19000,759333,31.97,29.70,45.11,5.05
BMA,1117433378,,391691977,725741401,,704.62%,957.94%,457.24%,87.28%,32.30%,,44.95%,8.90%,32.30%,390893,48.39%,7.38%,80728,0.43,4,,,71.50000,468034,41.56,39.82,59.27,11.36
FR,51682000,1.57%,-2175229000,2226911000,,10.90%,-0.86%,8.14%,-37.10%,11.00%,,4.81%,5.50%,12.28%,4434709,5.45%,6.12%,1904331,0.13,6,,,44.72000,2512587,28.15,30.56,42.26,2.17
VERX,335223000,-0.09%,-16664000,351887000,,130.84%,425.46%,46.87%,-0.28%,-22.90%,-0.35%,-8.63%,-5.10%,66.84%,350935,,-5.34%,-27752,0.65,5,,4.17,38.18000,777547,53.35,42.62,53.37,-0.34
TAL,4142403000,9.42%,3761313000,381090000,18.00%,-24.39%,77.69%,-22.80%,20.59%,3.20%,3.70%,-3.48%,2.20%,-7.12%,137970,0.03%,-3.90%,7961,0.39,5,12.22,6.27,9.96000,12159900,28.88,41.03,46.27,0.19
SPXC,156900000,-16.68%,-457800000,614700000,,35.70%,10.10%,9.33%,-7.56%,15.20%,13.06%,6.98%,7.20%,,461372,11.80%,,46628,0.72,6,4.33,4.11,129.62000,334674,46.45,41.61,53.92,4.26
WFG,641000000,-60.00%,441000000,200000000,9.98%,-26.27%,-59.92%,-24.35%,7.72%,-0.10%,0.49%,15.52%,-0.10%,17.84%,561273,-0.01%,12.18%,-455,0.67,5,6.16,3.50,74.27000,184734,43.92,34.31,45.27,-0.07
TFX,290188000,-5.71%,-1464837000,1755025000,,-3.72%,-8.89%,-2.68%,-25.40%,1.60%,2.46%,6.11%,0.90%,8.66%,216122,2.33%,4.58%,4941,0.41,7,2.19,2.68,129.07000,1163337,35.79,25.48,31.31,1.48
LPX,340000000,,-32000000,372000000,,-1.56%,,-0.63%,-0.54%,25.40%,25.29%,40.11%,16.50%,51.62%,683953,19.68%,30.40%,97674,1.16,6,5.74,7.01,85.64000,637630,38.41,33.16,49.86,5.89
CACC,845000000,1.66%,-5507900000,6352900000,,11.23%,25.37%,6.96%,-92.74%,15.00%,,9.99%,2.90%,25.92%,889510,6.95%,6.62%,101974,0.26,4,,,495.87000,106037,50.41,51.69,50.26,19.88
HIMS,301107000,-0.11%,289762000,11345000,36.75%,27.43%,14.04%,49.58%,5.01%,31.10%,14.75%,-6.24%,22.50%,-0.94%,901963,22.29%,-7.98%,76993,2.64,5,6.98,17.29,26.81000,19319427,40.01,46.16,55.41,0.53
EPRT,44978000,-3.59%,-2072539000,2117517000,,22.01%,26.90%,23.84%,-35.62%,6.10%,,3.97%,3.80%,5.32%,9366875,4.78%,3.34%,4229250,0.08,5,,,30.03000,1948304,40.56,41.64,53.70,1.15
STWD,553995000,-3.19%,-16788670000,17342665000,,0.62%,-12.02%,8.07%,-282.11%,5.70%,,4.07%,0.60%,8.24%,6644515,5.16%,0.62%,1228440,0.03,7,,,17.59000,5324272,33.14,32.50,41.49,1.10
BBWI,674000000,-7.38%,-4285000000,4959000000,,-6.22%,-11.02%,-11.39%,-71.71%,-48.90%,36.80%,27.24%,15.90%,-57.74%,127841,27.50%,14.42%,13962,1.46,7,5.64,2.67,27.62000,6803707,41.80,36.94,41.06,3.61
CRVL,262440000,-7.56%,241251000,21189000,46.43%,-17.87%,-8.19%,-24.71%,4.06%,32.20%,34.19%,23.98%,17.70%,28.66%,178913,27.39%,14.28%,18111,1.74,6,,19.94,114.90000,186574,61.18,57.92,65.95,1.70
TREX,1292000,152.71%,-243287000,244579000,,105.31%,904.84%,48.17%,-4.17%,26.30%,31.13%,26.02%,17.60%,30.62%,626468,20.68%,21.14%,123173,0.89,4,4.24,10.65,54.94000,1857518,43.89,35.99,42.16,2.09
PATH,1629956000,-3.34%,1555726000,74230000,-14.59%,14.20%,26.43%,29.49%,26.54%,-4.00%,-3.78%,-9.09%,-2.70%,-8.42%,369613,-8.47%,-10.82%,-19052,0.52,3,,3.53,10.63000,19202101,45.48,37.24,34.42,-0.13
ONB,1227968000,-0.69%,-4183569000,5411537000,,26.85%,1.51%,13.73%,-71.56%,8.60%,,4.56%,1.00%,8.86%,436513,4.59%,1.06%,128641,0.03,4,,,18.31000,4338159,35.51,37.39,48.73,1.68
PEGA,739973000,-5.79%,204856000,535117000,,-7.61%,-5.50%,59.03%,3.51%,21.10%,21.91%,-4.23%,6.20%,-31.66%,275065,7.69%,-4.52%,18223,0.94,5,,4.32,67.71000,732949,42.59,36.98,48.65,1.11
ONTO,852328000,,852328000,,22.14%,,,,14.70%,10.80%,11.32%,8.23%,9.90%,9.10%,636571,8.89%,8.06%,130026,0.49,6,1.54,20.18,118.03000,2296174,43.50,34.71,42.89,4.06
CIGI,406319000,-14.45%,-1651669000,2057988000,,16.64%,-3.69%,17.72%,-30.06%,13.10%,7.00%,2.98%,2.80%,-5.74%,261356,7.89%,-0.96%,8766,0.83,7,,1.63,111.49000,166156,39.36,31.36,45.84,3.22
STAG,37393000,3.61%,-3027046000,3064439000,,10.82%,15.31%,13.02%,-52.49%,5.60%,,3.46%,2.90%,6.18%,8432791,4.03%,3.40%,2077341,0.12,5,,,30.90000,2424037,32.94,33.79,39.67,1.04
CCCS,398983000,-0.25%,-424963000,823946000,,-1.14%,-1.10%,-9.04%,-7.34%,1.40%,3.43%,-0.02%,0.80%,-3.72%,409004,1.89%,-1.84%,11318,0.31,7,,3.06,8.81000,8238809,42.53,29.88,40.16,0.04
LSCC,136291000,-11.95%,126858000,9433000,7.89%,-62.38%,-12.16%,-43.78%,2.25%,8.70%,4.34%,19.89%,7.30%,25.76%,458920,8.07%,16.90%,55073,0.61,4,1.67,26.88,42.18000,7675710,34.86,36.65,40.34,0.44
GLBE,474440000,-2.83%,449583000,24857000,52.87%,5.25%,6.58%,76.80%,7.77%,-8.60%,-7.42%,-14.30%,-6.50%,-12.16%,694432,-7.40%,-9.42%,-69694,0.65,5,,9.56,34.20000,2436122,44.48,39.80,47.39,-0.45
CWAN,255489000,-2.16%,183570000,71919000,-18.10%,10.09%,-0.22%,,3.09%,78.90%,-3.05%,,58.00%,,235928,1.13%,,221607,0.62,5,,26.56,23.06000,1674718,34.48,37.64,50.10,1.68
R,154000000,2.31%,-7625000000,7779000000,,5.74%,9.35%,-0.37%,-130.57%,15.90%,7.81%,6.95%,3.00%,14.92%,249231,7.39%,2.96%,9645,0.77,6,,1.39,138.64000,365010,46.06,42.36,57.08,11.06
BRKR,183400000,-8.46%,-2029800000,2213200000,,17.17%,63.18%,20.80%,-35.15%,6.70%,4.52%,10.14%,2.00%,22.82%,295402,3.50%,7.06%,9925,0.60,4,1.69,2.30,38.07000,3643309,37.41,26.57,33.28,0.76
S,721905000,,721905000,,-22.04%,,,,13.07%,-17.60%,-15.70%,-8.36%,-12.20%,-8.18%,293379,-19.73%,-19.66%,-103015,0.35,4,,3.73,17.51000,5830267,41.75,34.45,42.63,-0.92
AWI,79300000,-3.43%,-520600000,599900000,,-3.69%,-6.32%,-1.47%,-9.21%,38.30%,24.29%,17.07%,14.80%,25.66%,401583,21.05%,8.88%,73583,0.81,7,8.08,5.85,132.53000,279160,41.74,42.54,56.83,6.02
LEGN,1122753000,1.16%,772150000,350603000,-21.24%,41.80%,6.67%,124.96%,27.06%,-15.80%,-9.80%,-40.07%,-10.10%,-112.60%,240414,-9.81%,-35.38%,-67852,0.36,3,10.83,,31.28000,1082872,40.17,37.95,38.46,-0.96
LEVI,574400000,-1.50%,-1577300000,2151700000,,-1.00%,0.11%,0.71%,-27.68%,18.20%,10.06%,8.57%,5.70%,16.32%,338209,9.63%,4.88%,19053,1.01,8,2.22,2.64,14.52000,5446325,42.86,32.59,41.98,0.88
BPOP,6800586000,20.78%,5624460000,1176126000,-11.30%,0.60%,9.07%,-1.91%,98.52%,11.20%,,11.56%,0.90%,14.70%,290787,9.04%,1.08%,66385,0.04,4,,,82.33000,659161,36.21,34.12,47.74,8.56
LRN,717496000,0.19%,156246000,561250000,,-1.41%,3.56%,62.93%,2.68%,22.40%,19.83%,7.34%,13.70%,12.16%,281194,13.52%,6.58%,34583,1.12,6,67.05,7.42,133.74000,688242,59.29,65.77,80.96,6.00
CHH,115678000,-2.02%,-1766103000,1881781000,,19.74%,12.18%,16.61%,-30.74%,-425.80%,23.35%,20.19%,11.90%,21.52%,935008,19.13%,12.06%,176794,0.63,5,,3.64,122.99000,425905,40.72,38.04,48.12,6.20
TEO,326975803,,-2545053332,2872029136,,2679.15%,872.82%,210.83%,-70.99%,20.00%,0.00%,-13.79%,8.90%,-14.48%,200790,-1.22%,-6.76%,49130,0.36,3,43.31,,10.17000,95352,40.94,41.55,54.86,2.28
IVZ,986500000,3.90%,-6757200000,7743700000,,-6.33%,-14.94%,-1.41%,-117.97%,2.10%,,2.48%,1.10%,2.22%,713094,2.54%,1.00%,35402,0.22,7,,,12.69000,9640390,33.88,27.76,39.63,1.18
FCN,705387000,-4.13%,497351000,208036000,350.32%,-26.93%,-7.03%,-14.37%,8.63%,12.90%,13.42%,11.82%,8.10%,14.44%,462910,11.25%,7.98%,35055,1.07,6,,5.17,160.52000,455975,44.68,29.36,39.15,7.81
BOKF,1434701000,-20.53%,-3019478000,4454179000,,21.32%,-50.26%,-12.37%,-53.54%,9.70%,,5.21%,1.00%,10.32%,401978,5.23%,1.08%,103554,0.04,4,,,88.13000,437821,33.21,35.39,47.12,8.14
BWA,2094000000,-9.41%,-2067000000,4161000000,,-1.30%,10.08%,16.25%,-36.70%,5.70%,4.53%,6.08%,2.40%,9.28%,367781,4.24%,3.94%,8825,0.98,7,8.92,2.41,25.67000,3356896,37.70,24.54,36.59,1.50
MTG,234627000,0.06%,-410040000,644667000,,-17.47%,0.23%,-4.99%,-7.28%,14.80%,,12.98%,11.60%,14.26%,2176092,13.60%,10.26%,1374764,0.18,4,,,23.21000,2509511,43.48,43.92,56.18,2.89
STVN,111574016,19.07%,-375284539,486858555,,20.48%,8.95%,2.40%,-6.67%,8.80%,9.64%,10.58%,5.30%,17.52%,208302,6.44%,8.36%,22222,0.49,5,3.20,4.93,20.63000,490589,51.02,49.27,45.98,0.45
TMHC,487166000,-1.04%,-1712315000,2199481000,,-13.50%,4.63%,2.09%,-30.59%,15.70%,,9.80%,9.70%,15.96%,2917191,11.05%,8.40%,315468,0.89,6,1.05,,55.33000,831309,39.70,37.80,50.72,8.27
ESNT,131480000,0.06%,-362479000,493959000,,5.57%,17.07%,17.11%,-6.49%,13.40%,,13.53%,10.60%,15.04%,1988646,12.46%,11.54%,1167045,0.18,6,,,54.19000,922301,42.33,42.49,50.26,6.85
THG,435500000,0.03%,-348600000,784100000,,0.11%,0.11%,3.71%,-6.17%,15.80%,,8.08%,2.80%,9.46%,1272939,12.48%,1.92%,86939,0.42,6,,,156.04000,361397,37.32,48.92,56.87,11.68
VMI,164315000,-17.39%,-702521000,866836000,,-8.00%,-31.99%,-0.15%,-12.60%,23.40%,20.84%,10.35%,10.10%,15.46%,370930,16.27%,6.44%,31700,1.19,7,4.54,5.22,278.16000,170618,39.87,40.38,49.69,17.19
TLX,442201314,2525.88%,80240988,361960326,,,,,1.46%,13.90%,9.44%,,5.20%,,1172202,6.36%,,74712,0.82,5,,6.57,16.40000,50472,45.34,54.13,0.00,0.09
SNV,2993987000,-11.83%,1129150000,1864837000,246.02%,8.29%,-12.25%,-14.47%,19.92%,8.50%,,7.96%,0.70%,11.14%,379688,6.75%,0.92%,90092,0.03,4,,,39.57000,2796556,35.72,33.63,46.47,3.03
OPCH,412565000,-0.29%,-805408000,1217973000,,1.65%,4.42%,-2.26%,-14.64%,14.90%,12.59%,7.98%,6.30%,11.44%,617977,9.17%,4.88%,26190,1.49,5,12.04,3.88,33.69000,2287629,52.26,63.39,56.67,1.23
MSA,164560000,-8.29%,-389437000,553997000,,-4.61%,-14.27%,7.22%,-7.09%,26.70%,21.48%,9.38%,12.90%,14.60%,354537,17.59%,6.20%,55876,0.82,7,3.22,5.68,141.87000,355345,41.00,33.45,39.61,7.21
FLR,2959000000,-1.08%,1855000000,1104000000,29.72%,-2.52%,-4.66%,-8.17%,33.35%,83.40%,46.53%,-1.07%,28.80%,4.12%,607273,5.67%,3.84%,79841,2.19,6,,4.21,33.07000,2666337,40.69,33.23,42.42,12.30
FLS,675441000,17.86%,-1012147000,1687588000,,3.95%,20.15%,1.52%,-18.07%,14.20%,10.84%,7.94%,5.40%,9.98%,284863,9.89%,3.68%,17672,0.86,6,3.64,3.40,41.83000,2356560,37.09,33.42,45.94,2.14
VIRT,913991000,4.80%,-11239479000,12153470000,,19.55%,8.49%,12.33%,-367.07%,22.40%,,8.96%,2.00%,26.58%,2968988,6.94%,3.24%,285258,0.20,5,,,35.54000,968981,46.43,52.34,63.27,2.97
NXT,693543000,-0.54%,548210000,145333000,145.77%,,0.39%,,10.25%,49.00%,36.41%,,21.40%,,2639400,36.62%,,554888,1.02,6,8.23,2.99,37.75000,1798436,34.70,42.84,45.58,3.93
USM,144000000,-0.83%,-3678000000,3822000000,,0.64%,-5.16%,9.04%,-65.47%,-0.80%,1.61%,0.98%,-0.40%,1.96%,919512,-0.14%,0.90%,-9512,0.36,5,8.62,1.42,64.60000,284885,47.98,55.89,67.54,-0.46
BRFS,1670276193,,-2362947352,4033223545,,41.97%,8.79%,78.52%,-41.01%,-15.50%,-1.18%,6.25%,-3.50%,-1.62%,113889,,-0.46%,-4309,0.93,7,8.52,,3.41000,2422815,51.90,43.40,50.12,-0.31
GTLS,308600000,-8.20%,-3333000000,3641600000,,60.31%,-5.04%,35.02%,-59.92%,6.80%,8.53%,4.38%,2.10%,7.12%,348784,7.36%,3.48%,16038,0.45,7,5.20,1.49,121.74000,739915,36.75,35.97,44.78,4.10
ALK,2504000000,4.09%,-3889000000,6393000000,,16.09%,67.44%,14.79%,-71.18%,9.30%,5.26%,-1.47%,2.30%,-1.24%,345747,3.84%,-0.34%,11638,0.68,6,33.03,1.13,44.51000,3771302,37.34,35.25,47.02,3.08
CIG.C,,,,,,,,,,,,,,,,,,,,4,,,2.36000,3018,41.21,42.08,46.66,0.35
CIG,525395518,,-1200255552,1725651070,,-0.77%,-31.87%,,-38.67%,24.80%,-37.15%,13.35%,10.60%,20.54%,1538893,18.09%,7.34%,240710,0.68,4,,2.00,1.67000,2927933,36.74,37.85,45.37,0.41
OSK,204900000,-37.42%,-756900000,961800000,,5.50%,24.50%,3.26%,-14.04%,17.00%,15.71%,11.77%,7.10%,13.44%,620243,15.11%,5.90%,39387,1.12,6,3.98,2.95,84.49000,865462,38.14,36.35,42.90,10.35
GRFS,751185698,,-11649400170,12400585868,,52.62%,53.39%,,-245.09%,1.00%,3.61%,4.27%,0.30%,6.90%,308565,2.51%,2.18%,2776,0.31,8,1.41,0.84,6.52000,1204864,36.66,37.91,42.90,0.10
SLM,4874260000,6.69%,-1566085000,6440345000,,2.78%,23.20%,6.76%,-28.87%,27.20%,,9.54%,2.00%,34.24%,842418,7.07%,2.46%,345046,0.05,3,,,25.78000,2014670,38.02,44.84,59.41,2.68
