Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS,PE Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,PS Ratio,P/FCF,Est. EPS,Est. Rev. Growth,Div. Yield,Div. Growth,Div. ($),Years,Last Div.,Div. CAGR 5Y,Rev Gr. Next Q,Rev Gr. Next 5Y,Rev Gr. This Y,Rev Gr. Next Y,Rev Gr. This Q,Revenue,Est. EPS Growth,Assets,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,Earnings Yield
PDD,2.03680297190639,-0.036418855575364506,0.316452643646522,-0.041769356766418415,-0.0025504831303078458,-0.024910727733843775,-0.021174681911948358,0.5123721812041196,0.13606634466539858,0.3192782635655202,0.4751169439719792,0.3861666943406909,0.23977464332604942,0.4779483102174123,-0.03416602022350698,0.34104670151856215,0.4937189175229162,-3.7996299258065576,0.4083184851224321,1.1195236293106963,-0.06640734345573197,0.0620820823697267,1.2107662209773715,0.07773346057649877,0.14135173078374377,0.249868252789164,0.48251424158814277,0.0018263758884470335,-0.06787937009028712,-0.021576077956682496,1.2227156069416987,-0.06980148402184833,-0.034461831687539544,0.19525893262062743,-0.049960399211888204,-0.030387579157004373,0.7066192818577253,-0.009002013592982715,-0.2480897418452965,-0.45130695566626994,-0.3965676144098969,-0.26617478501019326,-0.05999665641764503,-0.6052004796987739,-0.013812614363604281,0.7356138717965036,-0.0211007001491006,-0.013799321517232937,-0.013841340138802352,4.14785475684756,0.38298401301516366,0.2969844246885266,2.9629816035965013,-0.0138039407593589,-0.03897438308741244,-0.02941917331301716,-0.052847753951662274,0.1400423386600302
BHP,0.4429111151156586,-0.039162561870833314,0.09602928609410637,0.44059721681596514,-0.05619696912262081,-0.021538498112692105,-0.01959976276612652,0.26474202006834985,0.13073414277968384,0.31830142778253295,0.4778977742752567,0.3866071706736997,0.21717156870731621,0.4792119451883082,-0.03416602022350698,0.3397745681094773,0.493778056114805,-3.7996299258065576,0.018082005020406827,1.1195236293106963,-0.06640734345573197,0.0615234105210496,0.23880256442947861,0.08909957397641245,0.013207543951515733,0.06441847547541998,-0.02346070065027108,-0.001686159530526794,-0.06623605671948173,-0.021179952464635922,-0.7861226803945567,-0.060693491991184095,-0.03276029662890269,0.1950717820497905,-0.04959837259974096,-0.029520152055091644,-1.4215800498219633,-0.0861691207670919,0.44806030615213677,0.81334849911808,1.4062104444181216,-0.26617478501019326,0.004104796720863731,1.2891904046336586,-0.013825207644129216,0.4407846247131556,-0.021471856868986183,-0.013814476701347889,-0.013861220830513055,4.119392802035151,-0.4358648756826578,0.4645454756728536,5.022136909830725,-0.013803940759358091,-0.03746813511707016,-0.029110583521158515,-0.04859217890025645,0.1399688945687405
IBN,0.7678394773069479,-0.08534591516209229,0.1199116869819176,0.48630861889533633,-0.05619696912262081,0.10924932638332699,-0.021663886589490984,-1.1295932694940842,0.1311165212531897,0.31785574645654596,-2.0910361909391133,0.3865669296259929,0.20204864827895636,0.47707768482709806,-0.03277392622431555,0.3406873966625612,0.4934237932037783,0.26070820407910233,-0.4502017711020241,-0.8949663438154939,-0.06640734345573197,-0.20205238096631553,0.0020678530251771353,0.019971273707022164,1.4977086621771767,1.8269452208393766,1.8881981480181018,-0.0034572355688775305,-0.024558832506714836,-0.02059896840963429,-0.7861226803945567,-0.05238244926320299,-0.03355247837027404,0.19516088419126504,-0.04877328869298678,-0.030118650389846024,0.7032999153169919,-0.0861691207670919,-0.1548191528903006,1.4781987119774576,-0.2213988961432069,0.3662577092664312,-0.04445691020224897,2.208319730522347,-0.01389679570906613,-0.4548599345764821,-0.022039073118645208,-0.013802400366778279,-0.013925437723908134,2.052447742456784,0.47027577998851927,1.413397190368351,4.941350232492663,-0.013803940759356937,-0.03920868832724345,-0.02902937568119571,-0.052847753951662274,0.13993597135540267
MCO,0.16173581207236268,-0.04186835858018165,0.12103940171807763,0.08851522448142062,-0.05619696912262081,-0.016343441669296233,-0.02164322535651575,0.3374252755552991,0.1312081602321834,0.3201452053229199,0.47803186964956507,0.3864587138355373,0.22107425785011958,0.4863270561367435,-0.02995401651981788,0.3399757233377405,0.49375587914284685,0.26134180868525747,-0.04881567728279771,1.623146122592244,-0.06640734345573197,0.06408771430647749,6.981320789520983,-0.07269476860493368,0.35919684839853216,0.30490009727657563,0.8780298654505646,0.002519405640704981,0.03407598712819296,-0.002896560309508687,1.224100319319776,-0.011239941512186928,-0.02561792491570249,0.19496413800519208,-0.04101918381420508,-0.022351354820742995,0.7082633077387488,-0.01724583098222357,-0.13859818089812737,1.2825783889433895,2.34774230510158,1.3149064506813677,0.0008673495926562165,1.5249457813648948,-0.013821101754126416,0.5920214914720977,-0.021288991282411327,-0.013807123684198426,-0.013849367250476738,0.32806556504917034,0.5416540158825105,0.008948050661977326,6.907890474172576,-0.013803940759355326,-0.004129846706827767,-0.01856168510999035,0.022266523146167456,0.13991501113152713
SE,0.5937938728103926,-0.04128549869357946,0.17181811004749764,0.019145166461024418,0.022948842024064046,0.019201681364465196,-0.021969139644415398,0.7011796146434748,0.13181963615317774,0.31706817260651277,0.47675539892800795,0.38491487147823655,0.20221126032657305,0.47052206668435126,-0.03416602022350698,0.33753966415960324,0.4931423162519995,-3.7996299258065576,0.3302711891020269,1.623146122592244,0.10701899389266507,0.06238376516801233,1.7336179373558644,0.049686186981730225,1.363650128260384,1.4575533879786668,1.5550385909808362,-0.003901485410409539,0.5478037181333808,-0.013768004369008996,1.221008427297493,0.1587806534727279,-0.02832815441029771,0.19496832255920463,-0.04646642144349038,-0.02372500077848321,0.7042393586775769,-0.00024091139536217633,-0.2480897418452965,-0.45130695566626994,-0.3965676144098969,-0.26617478501019326,-0.05999665641764503,-0.6052004796987739,-0.013801031654973324,0.7951169013410054,-0.02100316361573532,-0.013799104186676795,-0.013829952512478006,1.112382571125454,-0.4358648756826578,0.049010726579329734,6.89115336663584,-0.013803940759352986,-0.026288427959418593,-0.02022644582922782,-0.03001625605681834,0.13990821322108096
AJG,0.6172846941431296,-0.01102417157291664,0.14261150613762374,0.23409900733589736,-0.05619696912262081,0.2750354258664344,-0.017322361699146745,0.7223084679827041,0.1314679138848768,0.31734901289412193,0.4767063039002556,0.38591763488326103,0.20269909646942313,0.47670377987890633,-0.0322613488248905,0.3378989690156042,0.4934630293849354,0.26069514381012454,-0.361004861364418,1.1195236293106963,-0.06640734345573197,0.06108764647908149,4.742100707443087,-0.003953256046871236,-0.8305726401130039,0.7496780184762054,1.324024210076208,-0.0004896466223898501,0.06725693157275316,-0.018803199512356508,1.2218240797941693,0.007744529376728806,-0.026147744215397794,0.1949637772677771,-0.044631030712139225,-0.02221425388062305,0.7083259372961209,-0.0123872825288346,-0.13994992856414182,1.2536155785024479,1.5010935001459118,1.3149064506813677,-0.017909843750947355,1.4161356074889395,-0.013811271645703194,0.7401592421089309,-0.02098885990161348,-0.013797807447691816,-0.013841509576515797,0.6819614697453195,0.518760865908688,0.2705135206780317,6.858841399672222,-0.013803940759355737,-0.020330380432286924,-0.01756688907044601,-0.015425713023426952,0.13991241193047443
BN,0.6195541906970894,-0.04052730697117012,-0.6147700632393585,5.4176676991433,-0.05619696912262081,0.120186287316792,-0.02141661828517448,0.5189643834459593,0.12227533759982771,0.3167873323189046,-2.0910361909391133,0.3855619910292009,0.19895901937423735,0.475568418868339,-0.03019604515876682,0.33740926008059136,-2.0283202568175067,0.26055646166757396,-0.3833040887988195,1.1195236293106963,0.027873208752842535,-0.20205238096631553,0.3450745948484637,-0.023107069754355378,0.6933574586764204,0.5318122231767254,1.0312476296495205,-0.004156188653345989,0.5063362786062485,-0.020801432550013647,-0.7861226803945567,0.60851622246187,-0.034461831687539544,0.19487214996439953,-0.049758337846968814,-0.03098607749175875,-1.4215800498219633,-0.0861691207670919,-0.1602261435543583,1.336297121157873,-0.13381453700986187,-0.26617478501019326,-0.05416925158687151,1.1472766064303628,-0.013892463677101044,-0.4548599345764821,-0.022510355837383648,-0.013803566707429573,-0.01392110294240587,6.7684821540123306,-0.4358648756826578,2.5380655247419273,6.841708622154033,-0.013803940759357414,0.005911806428787409,-0.02598814207458872,0.2905703978157536,0.1399090462983423
UPS,0.3084158326792109,-0.039200471456953774,0.07278526063948158,0.5130772674684885,-0.05619696912262081,0.03095891436794004,-0.021732535202279663,0.3156202989092146,0.1306128365053297,0.3187959508976699,0.47737018591732283,0.3865266885782861,0.21245581932643023,0.4830792686305535,-0.03416602022350698,0.33926682456779267,0.4937018583137173,-3.7996299258065576,0.8989014886792643,0.6159011360291488,-0.06640734345573197,0.061797159726901384,1.0210781541227623,0.27188950965498804,-1.5728231992258348,-1.2978081408088695,-0.7052203646053167,-0.0003415633415097461,-0.05466293489529898,-0.018125384781521262,1.2218999544450229,-0.045323755439438215,-0.03038375140478864,0.1949979751747075,-0.049808853188198665,-0.027582282997627043,0.7048813116406434,-0.022700239151594206,0.685967895370677,1.1228784229924995,4.391377351546297,1.3149064506813677,0.0461916093875614,1.512855762045344,-0.013827914280740355,0.49760175361849585,-0.021396022522564378,-0.013812020866063488,-0.013856236537775925,7.182473898192444,0.4621794220709478,0.3014528137309974,6.770395545347223,-0.013803940759357645,-0.036196192386558905,-0.027116931050071687,-0.045282287193607475,0.13993043972239358
FTNT,0.22819963972406987,-0.03811057085599035,0.14787324840496927,-0.05231069361177846,0.022451909276727546,0.031323479732388776,-0.021450609345875667,-1.1295932694940842,0.1315321930248185,0.33339964585331566,0.478867950644569,0.3908205171282141,0.23180665299282685,0.2567002917495062,-0.03416602022350698,0.34576067024709956,0.49381388045412244,-3.7996299258065576,0.19647582449561807,1.1195236293106963,0.023044264494234273,0.0642162088316732,1.181403776152032,0.10079862364845696,0.9624602510240994,1.1688246696406022,1.5764178138923188,-0.003001139061816196,0.05918022117581596,0.02535158866776781,1.2251435957690124,-0.006330164558157006,-0.02391129544072241,0.1949588712389346,-0.03910802007100916,-0.01963042847067024,0.7035504335464811,-0.012125366170161338,-0.2480897418452965,-0.45130695566626994,-0.3965676144098969,-0.26617478501019326,-0.05999665641764503,-0.6052004796987739,-0.013814911117908772,0.7345808330891336,-0.021170862333025817,-0.013803530485670215,-0.013843486349839304,0.22422427092247563,0.7112122242252122,-0.019427156726438598,6.833587850697672,-0.013803940759354025,5.4175433011888846e-05,-0.01578031659126433,0.023347304111603864,0.1399136115617296
BBVA,6.856548611789779,-0.03849440541546008,0.49610017315106736,1.830959318839407,-0.01983929259361236,-0.8488284513882086,-0.028126187071034994,-1.1295932694940842,0.13584482886005747,0.31765732668812746,-2.0910361909391133,-2.596975584903606,-5.912814790302413,-2.0818786543988868,-0.03143935257381763,-3.0131376549542654,-2.0283202568175067,0.2610107508383537,-1.5317143016704946,-0.8949663438154939,-0.06640734345573197,-0.20205238096631553,-0.3270918267497961,-0.055108112003691735,0.20542382419985725,1.4062908479082008,1.8543477117415872,-0.0032143789881454955,-0.07822874791493394,-0.021241571985620947,1.2235691967638012,-0.06980148402184833,-0.034461831687539544,0.19491608778153072,-0.04874803102237185,-0.03098607749175875,-1.4215800498219633,-0.020362635650435376,0.4318393341599635,1.3903394601929258,0.11434114720128231,0.208149585697275,-0.03603954766890943,1.774518323032759,-0.013817900431972771,0.5209484284050538,-0.021163833783845256,-0.013811216743005762,-0.013841770792990689,2.7778067405053957,-0.4358648756826578,-0.07137442691336646,6.700556373795993,-0.013803940759358183,-0.029401340431459297,-0.024891836235090874,-0.052847753951662274,0.13994773440632174
